spellID	key	status	enUS	zhCN	srcType	avail	path	price	notes	nSources	factions	classes	itemIDs	clientSourceType	clientSourceText	clientFaction	inInventory
10789	provisional-10789	candidate	Mount 10789	斑点霜刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	10金币（声望折扣）		1			8632	0		1	True
10790	fact-10790	candidate	Mount 10790	黑纹虎	vendor	obtainable	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈		10金币（声望折扣）。	1	ALLIANCE			0			True
10793	provisional-10793	candidate	Mount 10793	条纹夜刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	10金币（声望折扣）		1			8629	0		1	True
10795	fact-10795	candidate	Mount 10795	白色迅猛龙	vendor	obtainable	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔		10金币（声望折扣）。	1	HORDE			0			True
10796	provisional-10796	candidate	Mount 10796	青色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	10金币（声望折扣）		1			8591	0		0	True
10799	provisional-10799	candidate	Mount 10799	紫色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	10金币（声望折扣）		1			8592	0		0	True
10873	provisional-10873	candidate	Mount 10873	红色机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1			8563	0		1	True
10969	provisional-10969	candidate	Mount 10969	蓝色机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1			8595	0		1	True
13819	fact-13819	candidate	Mount 13819	军马	class_reward	obtainable	人类/矮人圣骑士 > 20级职业训练师 > 召唤军马		仅限人类或矮人圣骑士的召唤法术；20级由职业训练师教授，非背包物品。	1	ALLIANCE	PALADIN		0		1	True
15779	fact-15779	candidate	Mount 15779	白色机械陆行鸟B型	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1				0		1	True
15780	excluded-15780	candidate	Mount 15780	绿色机械陆行鸟	vendor	obtainable	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨		10金币（声望折扣）。	1	ALLIANCE			0			True
16056	fact-16056	candidate	Mount 16056	上古霜刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	10金币（声望折扣）		1				0		1	True
16080	fact-16080	candidate	Mount 16080	赤狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	10金币（声望折扣）		1				0		0	True
16082	fact-16082	candidate	Mount 16082	褐色马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 艾玛	10金币（声望折扣）		1				0		1	True
16083	fact-16083	candidate	Mount 16083	白马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 艾玛	10金币（声望折扣）		1				0		1	True
16084	fact-16084	candidate	Mount 16084	杂斑红色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	10金币（声望折扣）		1				0		0	True
17229	provisional-17229	candidate	Mount 17229	冬泉霜刃豹	quest	unknown	飞速成长			1			13086	0		1	True
17450	fact-17450	candidate	Mount 17450	白色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	10金币（声望折扣）		1				0		0	True
17453	provisional-17453	candidate	Mount 17453	绿色机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1			13321	0		1	True
17454	fact-17454	candidate	Mount 17454	未涂色的机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1				0		1	True
17459	fact-17459	candidate	Mount 17459	冰蓝色机械陆行鸟A型	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1				0		1	True
17460	fact-17460	candidate	Mount 17460	霜山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	10金币（声望折扣）		1				0		1	True
17461	fact-17461	candidate	Mount 17461	黑山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	10金币（声望折扣）		1				0		1	True
17462	provisional-17462	candidate	Mount 17462	红色骸骨军马	vendor	unknown	幽暗城 > 提瑞斯法林地 > 布瑞尔 > 撒迦利亚·普斯特	10金币（声望折扣）		1			13331	0		0	True
17463	provisional-17463	candidate	Mount 17463	蓝色骸骨军马	vendor	unknown	幽暗城 > 提瑞斯法林地 > 布瑞尔 > 撒迦利亚·普斯特	10金币（声望折扣）		1			13332	0		0	True
17464	provisional-17464	candidate	Mount 17464	棕色骸骨军马	vendor	unknown	幽暗城 > 提瑞斯法林地 > 布瑞尔 > 撒迦利亚·普斯特	10金币（声望折扣）		1			13333	0		0	True
17465	provisional-17465	candidate	Mount 17465	绿色骸骨战马	vendor	unknown	幽暗城 > 提瑞斯法林地 > 布瑞尔 > 撒迦利亚·普斯特	10金币（声望折扣）		1			13334	0		0	True
17481	rivendares-deathcharger	candidate	Rivendare's Deathcharger	瑞文戴尔的死亡战马	boss_drop	obtainable	东瘟疫之地 > 斯坦索姆 > 瑞文戴尔男爵			1			13335	0			True
18363	fact-18363	candidate	Mount 18363	科多兽坐骑	research	unknown	来源待补全			1				0			True
18989	provisional-18989	candidate	Mount 18989	灰色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	10金币（声望折扣）		1			15277	0		0	True
18990	provisional-18990	candidate	Mount 18990	棕色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	10金币（声望折扣）		1			15290	0		0	True
18991	fact-18991	candidate	Mount 18991	绿色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	10金币（声望折扣）		1				0		0	True
18992	fact-18992	candidate	Mount 18992	蓝色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	10金币（声望折扣）		1				0		0	True
22717	provisional-22717	candidate	Mount 22717	黑色战驹	vendor	unknown	联盟 > 暴风城 > 勇士大厅 > 卡特尔中尉	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29468	0		1	True
22718	provisional-22718	candidate	Mount 22718	黑色作战科多兽	vendor	unknown	部落 > 奥格瑞玛 > 传说大厅 > 狼骑兵波尔克	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29466	0		0	True
22719	provisional-22719	candidate	Mount 22719	黑色作战机械陆行鸟	vendor	unknown	联盟 > 暴风城 > 勇士大厅 > 卡特尔中尉	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29465	0		1	True
22720	provisional-22720	candidate	Mount 22720	黑色战羊	vendor	unknown	联盟 > 暴风城 > 勇士大厅 > 卡特尔中尉	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29467	0		1	True
22721	provisional-22721	candidate	Mount 22721	黑色作战迅猛龙	vendor	unknown	部落 > 奥格瑞玛 > 传说大厅 > 狼骑兵波尔克	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29472	0		0	True
22722	provisional-22722	candidate	Mount 22722	红色骷髅战马	vendor	unknown	部落 > 奥格瑞玛 > 传说大厅 > 狼骑兵波尔克	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29470	0		0	True
22723	provisional-22723	candidate	Mount 22723	黑色战豹	vendor	unknown	联盟 > 暴风城 > 勇士大厅 > 卡特尔中尉	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29471	0		1	True
22724	provisional-22724	candidate	Mount 22724	黑色战狼	vendor	unknown	部落 > 奥格瑞玛 > 传说大厅 > 狼骑兵波尔克	2,000荣誉点数	 PVP 荣誉点数商人坐骑。	1			29469	0		0	True
23161	fact-23161	candidate	Mount 23161	恐惧战马	class_reward	obtainable	术士 > 40级职业训练师 > 召唤恐惧战马		术士专属召唤法术；40级由职业训练师教授，非背包物品。	1		WARLOCK		0			True
23214	fact-23214	candidate	Mount 23214	战马	class_reward	obtainable	人类/矮人圣骑士 > 40级职业训练师 > 召唤战马		仅限人类或矮人圣骑士的召唤法术；40级由职业训练师教授，非背包物品。	1	ALLIANCE	PALADIN		0		1	True
23219	provisional-23219	candidate	Mount 23219	迅捷雾刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	100金币（声望折扣）		1			18767	0		1	True
23221	provisional-23221	candidate	Mount 23221	迅捷霜刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	100金币（声望折扣）		1			18766	0		1	True
23222	provisional-23222	candidate	Mount 23222	迅捷黄色机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1			18774	0		1	True
23223	provisional-23223	candidate	Mount 23223	迅捷白色机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1			18773	0		1	True
23225	provisional-23225	candidate	Mount 23225	迅捷绿色机械陆行鸟	vendor	unknown	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨	10金币（声望折扣）		1			18772	0		1	True
23227	provisional-23227	candidate	Mount 23227	迅捷褐色马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 格瑞戈·玛克温斯	100金币（声望折扣）		1			18776	0		1	True
23228	provisional-23228	candidate	Mount 23228	迅捷白马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 格瑞戈·玛克温斯	100金币（声望折扣）		1			18778	0		1	True
23229	provisional-23229	candidate	Mount 23229	迅捷棕马	vendor	unknown	暴风城 > 艾尔文森林 > 东谷伐木场 > 格瑞戈·玛克温斯	100金币（声望折扣）		1			18777	0		1	True
23238	provisional-23238	candidate	Mount 23238	迅捷棕山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	100金币（声望折扣）		1			18786	0		1	True
23239	provisional-23239	candidate	Mount 23239	迅捷灰山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	100金币（声望折扣）		1			18787	0		1	True
23240	provisional-23240	candidate	Mount 23240	迅捷白山羊	vendor	unknown	铁炉堡 > 丹莫罗 > 铁炉堡 > 维隆·冻石	100金币（声望折扣）		1			18785	0		1	True
23241	provisional-23241	candidate	Mount 23241	迅捷蓝色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	100金币（声望折扣）		1			18788	0		0	True
23242	provisional-23242	candidate	Mount 23242	迅捷绿色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	100金币（声望折扣）		1			18789	0		0	True
23243	provisional-23243	candidate	Mount 23243	迅捷橙色迅猛龙	vendor	unknown	暗矛巨魔 > 杜隆塔尔 > 森金村 > 祖尼尔	100金币（声望折扣）		1			18790	0		0	True
23246	provisional-23246	candidate	Mount 23246	紫色骷髅战马	vendor	unknown	幽暗城 > 提瑞斯法林地 > 布瑞尔 > 撒迦利亚·普斯特	100金币（声望折扣）		1			18791	0		0	True
23247	provisional-23247	candidate	Mount 23247	迅捷白色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	100金币（声望折扣）		1			18793	0		0	True
23248	provisional-23248	candidate	Mount 23248	大型灰色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	100金币（声望折扣）		1			18795	0		0	True
23249	provisional-23249	candidate	Mount 23249	大型棕色科多兽	vendor	unknown	雷霆崖 > 莫高雷 > 血蹄村 > 哈布·爪蹄	100金币（声望折扣）		1			18794	0		0	True
23250	provisional-23250	candidate	Mount 23250	迅捷棕狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	100金币（声望折扣）		1			18796	0		0	True
23251	provisional-23251	candidate	Mount 23251	迅捷森林狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	100金币（声望折扣）		1			18797	0		0	True
23252	provisional-23252	candidate	Mount 23252	迅捷灰狼	vendor	unknown	奥格瑞玛 > 杜隆塔尔 > 奥格瑞玛 > 奥古纳罗	100金币（声望折扣）		1			18798	0		0	True
23338	provisional-23338	candidate	Mount 23338	迅捷雷刃豹	vendor	unknown	达纳苏斯 > 泰达希尔 > 多兰纳尔 > 莱兰奈	100金币（声望折扣）		1			18902	0		1	True
23509	provisional-23509	candidate	Mount 23509	霜狼嗥叫者	reputation_vendor	obtainable	霜狼氏族（崇拜） > 奥特兰克山谷 > 格伦达·狼心	2,000荣誉点数	 奥特兰克山谷战场声望坐骑。 奥特兰克山谷战场声望坐骑。	1			19029	0		0	True
23510	provisional-23510	candidate	Mount 23510	雷矛军用坐骑	reputation_vendor	obtainable	雷矛卫队（崇拜） > 奥特兰克山谷 > 盖尔丁	2,000荣誉点数	 奥特兰克山谷战场声望坐骑。 奥特兰克山谷战场声望坐骑。	1			19030	0		1	True
24242	fact-24242	candidate	Mount 24242	拉扎什迅猛龙	rare_drop	unknown	荆棘谷 > 祖尔格拉布20人 > 血领主曼多基尔			1				0			True
24252	fact-24252	candidate	Mount 24252	迅捷祖利安猛虎	rare_drop	unknown	荆棘谷 > 祖尔格拉布20人 > 高阶祭司塞卡尔			1				0			True
25863	excluded-25863	verified	Mount 25863	黑色其拉作战坦克	event	unavailable	希利苏斯 > 安其拉开门事件 > 敲响甲虫之锣		甲虫之王任务线和服务器开门窗口限定；窗口结束后不可新获得。	1				0			True
25953	provisional-25953	candidate	Mount 25953	蓝色其拉作战坦克	boss_drop	unknown	希利苏斯 > 安其拉废墟20人 > 无疤者奥斯里安			1			21218	0			True
26054	provisional-26054	candidate	Mount 26054	红色其拉作战坦克	boss_drop	unknown	希利苏斯 > 安其拉废墟20人 > 无疤者奥斯里安			1			21321	0			True
26055	provisional-26055	candidate	Mount 26055	黄色其拉作战坦克	boss_drop	unknown	希利苏斯 > 安其拉废墟20人 > 无疤者奥斯里安			1			21324	0			True
26056	provisional-26056	candidate	Mount 26056	绿色其拉作战坦克	boss_drop	unknown	希利苏斯 > 安其拉废墟20人 > 无疤者奥斯里安			1			21323	0			True
26655	excluded-26655	verified	Mount 26655	黑色其拉作战坦克	event	unavailable	希利苏斯 > 安其拉开门事件 > 敲响甲虫之锣		甲虫之王任务线和服务器开门窗口限定；窗口结束后不可新获得。	1				0			True
26656	fact-26656	verified	Mount 26656	黑色其拉作战坦克	event	unavailable	希利苏斯 > 安其拉开门事件 > 敲响甲虫之锣		黑色其拉作战坦克的另一召唤法术变体；甲虫之王任务线和服务器开门窗口限定。	1				0			True
28828	excluded-28828	verified	Mount 28828	虚空幼龙	reputation_vendor	obtainable	灵翼之龙（崇拜） > 影月谷 > 灵翼浮岛 > 灵翼幼龙管理员		灵翼之龙崇拜后选择奖励；并非绝版。	1				0			True
30174	fact-30174	verified	Mount 30174	骑乘乌龟	event	limited_time	流沙秘宝库			1				0			True
32235	provisional-32235	candidate	Mount 32235	金色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1			25470	0		1	True
32239	fact-32239	candidate	Mount 32239	黑色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1				0		1	True
32240	provisional-32240	candidate	Mount 32240	雪色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1			25472	0		1	True
32242	provisional-32242	candidate	Mount 32242	迅捷蓝色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1			25473	0		1	True
32243	provisional-32243	candidate	Mount 32243	茶色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25474	0		0	True
32244	provisional-32244	candidate	Mount 32244	蓝色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25475	0		0	True
32245	provisional-32245	candidate	Mount 32245	绿色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25476	0		0	True
32246	provisional-32246	candidate	Mount 32246	迅捷红色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25477	0		0	True
32289	provisional-32289	candidate	Mount 32289	迅捷红色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1			25527	0		1	True
32290	provisional-32290	candidate	Mount 32290	迅捷绿色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1			25528	0		1	True
32292	provisional-32292	candidate	Mount 32292	迅捷紫色狮鹫	vendor	unknown	联盟 > 影月谷 > 蛮锤要塞 > 塔尼克·石喙	50金币		1			25529	0		1	True
32295	provisional-32295	candidate	Mount 32295	迅捷绿色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25531	0		0	True
32296	provisional-32296	candidate	Mount 32296	迅捷黄色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25532	0		0	True
32297	provisional-32297	candidate	Mount 32297	迅捷紫色驭风者	vendor	unknown	部落 > 影月谷 > 影月村 > 卓卡玛	50金币		1			25533	0		0	True
33630	excluded-33630	candidate	Mount 33630	蓝色机械陆行鸟	vendor	obtainable	诺莫瑞根 > 丹莫罗 > 卡拉诺斯 > 米利·羽哨		10金币（声望折扣）。	1	ALLIANCE			0			True
33660	provisional-33660	candidate	Mount 33660	迅捷粉色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			28936	0		0	True
34406	provisional-34406	candidate	Mount 34406	棕色雷象	vendor	unknown	埃索达 > 秘蓝岛 > 埃索达 > 象群管理者妥拉留斯	10金币（声望折扣）		1			28481	0		1	True
34767	fact-34767	candidate	Mount 34767	奎尔萨拉斯战马	class_reward	obtainable	血精灵圣骑士 > 30级职业训练师 > 召唤奎尔萨拉斯战马		血精灵圣骑士专属召唤法术；学习专家骑术后由职业训练师教授，非背包物品。	1	HORDE	PALADIN		0		0	True
34769	excluded-34769	candidate	Mount 34769	奎尔萨拉斯军马	class_reward	obtainable	血精灵圣骑士 > 60级职业训练师 > 召唤奎尔萨拉斯军马		血精灵圣骑士专属召唤法术；学习高级骑术后由职业训练师教授，非背包物品。	1	HORDE	PALADIN		0		0	True
34790	provisional-34790	candidate	Mount 34790	暗色作战塔布羊	reputation_vendor	obtainable	玛格汉（崇拜） > 纳格兰 > 加拉达尔 > 阿尔德兰	100金币（声望折扣）		1			29228	0			True
34795	provisional-34795	candidate	Mount 34795	红色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			28927	0		0	True
34896	provisional-34896	candidate	Mount 34896	蓝色作战塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			29227	0			True
34897	provisional-34897	candidate	Mount 34897	白色作战塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			29103	0			True
34898	provisional-34898	candidate	Mount 34898	银色作战塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			29229	0			True
34899	provisional-34899	candidate	Mount 34899	褐色作战塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			29105	0			True
35018	provisional-35018	candidate	Mount 35018	紫色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			29222	0		0	True
35020	provisional-35020	candidate	Mount 35020	蓝色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			29220	0		0	True
35022	provisional-35022	candidate	Mount 35022	黑色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			29221	0		0	True
35025	provisional-35025	candidate	Mount 35025	迅捷绿色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			29223	0		0	True
35027	provisional-35027	candidate	Mount 35027	迅捷紫色陆行鸟	vendor	unknown	银月城 > 永歌森林 > 银月城 > 维奈丝特拉	10金币（声望折扣）		1			29224	0		0	True
35028	provisional-35028	candidate	Mount 35028	迅捷作战陆行鸟	vendor	unknown	部落 > 奥格瑞玛 > 传说大厅 > 狼骑兵波尔克	2,000荣誉点数		1			34129	0		0	True
35710	provisional-35710	candidate	Mount 35710	灰色雷象	vendor	unknown	埃索达 > 秘蓝岛 > 埃索达 > 象群管理者妥拉留斯	10金币（声望折扣）		1			29744	0		1	True
35711	provisional-35711	candidate	Mount 35711	紫色雷象	vendor	unknown	埃索达 > 秘蓝岛 > 埃索达 > 象群管理者妥拉留斯	10金币（声望折扣）		1			29743	0		1	True
35712	provisional-35712	candidate	Mount 35712	重型绿色雷象	vendor	unknown	埃索达 > 秘蓝岛 > 埃索达 > 象群管理者妥拉留斯	10金币（声望折扣）		1			29746	0		1	True
35713	provisional-35713	candidate	Mount 35713	重型蓝色雷象	vendor	unknown	埃索达 > 秘蓝岛 > 埃索达 > 象群管理者妥拉留斯	10金币（声望折扣）		1			29745	0		1	True
35714	provisional-35714	candidate	Mount 35714	重型紫色雷象	vendor	unknown	埃索达 > 秘蓝岛 > 埃索达 > 象群管理者妥拉留斯	10金币（声望折扣）		1			29747	0		1	True
36702	fiery-warhorse	candidate	Fiery Warhorse	炽热战马	boss_drop	obtainable	逆风小径 > 卡拉赞10人 > 猎手阿图门			1			30480	0			True
37015	fact-37015	candidate	Mount 37015	迅捷虚空幼龙	achievement	limited_time	竞技场 3v3 > 第 1 赛季 > 角斗士赛季奖励		PVP 竞技场 第 1 赛季角斗士奖励；赛季限定，非背包物品。	1				0			True
39315	provisional-39315	candidate	Mount 39315	蓝色骑乘塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			31829	0			True
39316	provisional-39316	candidate	Mount 39316	暗色骑乘塔布羊	reputation_vendor	obtainable	玛格汉（崇拜） > 纳格兰 > 加拉达尔 > 阿尔德兰	100金币（声望折扣）		1			28915	0			True
39317	provisional-39317	candidate	Mount 39317	银色骑乘塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			31832	0			True
39318	provisional-39318	candidate	Mount 39318	褐色骑乘塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			31834	0			True
39319	provisional-39319	candidate	Mount 39319	白色骑乘塔布羊	reputation_vendor	obtainable	库雷尼（崇拜） > 纳格兰 > 塔拉 > 补给官纳瑟拉	100金币（声望折扣）		1			31836	0			True
39798	provisional-39798	candidate	Mount 39798	绿色骑乘虚空鳐	reputation_vendor	obtainable	沙塔尔天空卫队（崇拜） > 泰罗卡森林 > 斯克提斯 > 格蕾拉	200金币		1			32314	0			True
